Address:,USB0::0x2A8D::0x178B::CN59340121::0::INSTR,,Analog Channels,,,
Model:,EDU-X 1002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,CN59340121,,3.01875E-07,-2.31658246042207,10.2512563616037,
Firmware Version:,01.20.2019061038,,3.021875E-07,-1.9899493586272,10.2512563616037,
Start Time:,2021-08-25 12:56:31.957,,3.025E-07,-1.63819063361734,10.2386935474351,
Capture#:,1,,3.028125E-07,-1.26130628539249,10.2386935474351,
,,,3.03125E-07,-0.874371687881649,10.2386935474351,
Analog Sample Count:,640,,3.034375E-07,-0.462311467155814,10.2386935474351,
Function Sample Count:,0,,3.0375E-07,-0.0552763710729778,10.2512563616037,
Waveform Memory Sample Count:,0,,3.040625E-07,0.356783849652857,10.2512563616037,
Digital Sample Count:,0,,3.04375E-07,0.748743571806699,10.2638191757724,
,,,3.046875E-07,1.13065304467455,10.2638191757724,
Setup Text Information:,,,3.05E-07,1.4974871436134,10.2386935474351,
ANALOG,,,3.053125E-07,1.84924586862326,10.2135679190978,
Channel 1,,,3.05625E-07,2.19597946899012,10.1633166624233,
Scale,2 V/,,3.059375E-07,2.53266282007098,10.1130654057488,
Pos,0 V,,3.0625E-07,2.85427079722285,10.0502513349056,
Coup,,,3.065625E-07,3.16582852508873,10.037688520737,
BW,Off,,3.06875E-07,3.43216013116762,10.0251257065684,
Inv,Off,,3.071875E-07,3.67336611403152,10.0251257065684,
Imp,1M Ohm,,3.075E-07,3.86934597510844,10.0251257065684,
Trace Label,1,,3.078125E-07,4.02009971439838,10.037688520737,
Probe,10,,3.08125E-07,4.14572783047333,10.037688520737,
Skew,0 s,,3.084375E-07,4.2211047001183,10.0502513349056,
,,,3.0875E-07,4.27638107119128,10.037688520737,
Channel 2,,,3.090625E-07,4.31658206833526,10.037688520737,
Scale,5 V/,,3.09375E-07,4.32663231762126,10.037688520737,
Pos,0 V,,3.096875E-07,4.32663231762126,10.037688520737,
Coup,,,3.1E-07,4.31155694369227,10.037688520737,
BW,Off,,3.103125E-07,4.28643132047728,10.0502513349056,
Inv,Off,,3.10625E-07,4.25628057261929,10.0502513349056,
Imp,1M Ohm,,3.109375E-07,4.2261298247613,10.0502513349056,
Trace Label,2,,3.1125E-07,4.20100420154631,10.0502513349056,
Probe,10,,3.115625E-07,4.17587857833132,10.0502513349056,
Skew,0 s,,3.11875E-07,4.15075295511633,10.0502513349056,
,,,3.121875E-07,4.12060220725834,10.0502513349056,
MATH,,,3.125E-07,4.10050170868635,10.037688520737,
REFERENCE WAVEFORM,,,3.128125E-07,4.09045145940036,10.037688520737,
TRIGGER,,,3.13125E-07,4.08542633475736,10.037688520737,
Sweep Mode,NORM,,3.134375E-07,4.09547658404335,10.037688520737,
Coup,DC,,3.1375E-07,4.11557708261535,10.0502513349056,
Noise Rej,Off,,3.140625E-07,4.13567758118734,10.0502513349056,
HF Rej,Off,,3.14375E-07,4.15577807975933,10.037688520737,
Holdoff,60.0 ns,,3.146875E-07,4.17085345368832,10.037688520737,
Mode,EDGE,,3.15E-07,4.18090370297432,10.0251257065684,
Source,CHAN2,,3.153125E-07,4.18090370297432,10.0251257065684,
Slope,POS,,3.15625E-07,4.17587857833132,10.0251257065684,
Level,3.125 V V,,3.159375E-07,4.17587857833132,10.037688520737,
,,,3.1625E-07,4.17587857833132,10.0628141490743,
HORIZONTAL,,,3.165625E-07,4.17587857833132,10.1130654057488,
Mode,MAIN,,3.16875E-07,4.18090370297432,10.1633166624233,
Ref,CENT,,3.171875E-07,4.18090370297432,10.2135679190978,
Main Scale,20 ns/,,3.175E-07,4.17085345368832,10.2386935474351,
Main Delay,402 ns,,3.178125E-07,4.15577807975933,10.2638191757724,
,,,3.18125E-07,4.13567758118734,10.2638191757724,
ACQUISITION,,,3.184375E-07,4.11557708261535,10.2512563616037,
Mode,NORM,,3.1875E-07,4.10050170868635,10.2386935474351,
RealTime,On,,3.190625E-07,4.09045145940036,10.2386935474351,
Vectors,On,,3.19375E-07,4.09045145940036,10.2386935474351,
Persistence,Off,,3.196875E-07,4.09045145940036,10.2386935474351,
,,,3.2E-07,4.09045145940036,10.2386935474351,
,,,3.203125E-07,4.09547658404335,10.2512563616037,
,,,3.20625E-07,4.10050170868635,10.2512563616037,
,,,3.209375E-07,4.10050170868635,10.2512563616037,
,,,3.2125E-07,4.09547658404335,10.2512563616037,
,,,3.215625E-07,4.09547658404335,10.2512563616037,
,,,3.21875E-07,4.09547658404335,10.2512563616037,
,,,3.221875E-07,4.09547658404335,10.2512563616037,
,,,3.225E-07,4.09547658404335,10.2512563616037,
,,,3.228125E-07,4.10050170868635,10.2512563616037,
,,,3.23125E-07,4.10050170868635,10.2512563616037,
,,,3.234375E-07,4.10050170868635,10.2512563616037,
,,,3.2375E-07,4.10050170868635,10.2512563616037,
,,,3.240625E-07,4.10050170868635,10.2512563616037,
,,,3.24375E-07,4.10050170868635,10.2512563616037,
,,,3.246875E-07,4.09547658404335,10.2512563616037,
,,,3.25E-07,4.09547658404335,10.2512563616037,
,,,3.253125E-07,4.09547658404335,10.2512563616037,
,,,3.25625E-07,4.09547658404335,10.2512563616037,
,,,3.259375E-07,4.09547658404335,10.2512563616037,
,,,3.2625E-07,4.10050170868635,10.2512563616037,
,,,3.265625E-07,4.10050170868635,10.2512563616037,
,,,3.26875E-07,4.10552683332935,10.2512563616037,
,,,3.271875E-07,4.10050170868635,10.2512563616037,
,,,3.275E-07,4.09045145940036,10.2386935474351,
,,,3.278125E-07,4.07537608547136,10.2386935474351,
,,,3.28125E-07,4.05527558689937,10.2386935474351,
,,,3.284375E-07,4.03517508832738,10.2386935474351,
,,,3.2875E-07,4.02009971439838,10.2512563616037,
,,,3.290625E-07,4.01004946511239,10.2512563616037,
,,,3.29375E-07,4.01004946511239,10.2638191757724,
,,,3.296875E-07,4.01004946511239,10.2638191757724,
,,,3.3E-07,4.01004946511239,10.2386935474351,
,,,3.303125E-07,4.01507458975539,10.2135679190978,
,,,3.30625E-07,4.02009971439838,10.1633166624233,
,,,3.309375E-07,4.02009971439838,10.1130654057488,
,,,3.3125E-07,4.01507458975539,10.0628141490743,
,,,3.315625E-07,4.01507458975539,10.037688520737,
,,,3.31875E-07,4.01507458975539,10.0125628923997,
,,,3.321875E-07,4.01507458975539,10.0125628923997,
,,,3.325E-07,4.01507458975539,10.0125628923997,
,,,3.328125E-07,4.02009971439838,10.0251257065684,
,,,3.33125E-07,4.02009971439838,10.0628141490743,
,,,3.334375E-07,4.02009971439838,10.1130654057488,
,,,3.3375E-07,4.02009971439838,10.1633166624233,
,,,3.340625E-07,4.02009971439838,10.1758794765919,
,,,3.34375E-07,4.02009971439838,10.1884422907606,
,,,3.346875E-07,4.02009971439838,10.1633166624233,
,,,3.35E-07,4.02009971439838,10.1130654057488,
,,,3.353125E-07,4.02009971439838,10.0628141490743,
,,,3.35625E-07,4.01507458975539,10.0251257065684,
,,,3.359375E-07,4.01507458975539,10.0251257065684,
,,,3.3625E-07,4.01507458975539,10.0251257065684,
,,,3.365625E-07,4.01507458975539,10.0251257065684,
,,,3.36875E-07,4.01507458975539,10.037688520737,
,,,3.371875E-07,4.01507458975539,10.037688520737,
,,,3.375E-07,4.01507458975539,10.0502513349056,
,,,3.378125E-07,4.02009971439838,10.037688520737,
,,,3.38125E-07,4.02009971439838,10.037688520737,
,,,3.384375E-07,4.01004946511239,10.037688520737,
,,,3.3875E-07,3.99497409118339,10.037688520737,
,,,3.390625E-07,3.95979821868241,10.037688520737,
,,,3.39375E-07,3.89949672296643,10.0502513349056,
,,,3.396875E-07,3.82411985332146,10.0502513349056,
,,,3.4E-07,3.7236173604615,10.0502513349056,
,,,3.403125E-07,3.59296411974356,10.0502513349056,
,,,3.40625E-07,3.44221038045362,10.0502513349056,
,,,3.409375E-07,3.2412053947337,10.0502513349056,
,,,3.4125E-07,3.01507478579879,10.0502513349056,
,,,3.415625E-07,2.7487431797199,10.0502513349056,
,,,3.41875E-07,2.43216032721102,10.0502513349056,
,,,3.421875E-07,2.10050210077316,10.0502513349056,
,,,3.425E-07,1.72864287719131,10.0502513349056,
,,,3.428125E-07,1.35678365360945,10.0502513349056,
,,,3.43125E-07,0.974874180741608,10.0502513349056,
,,,3.434375E-07,0.592964707873762,10.0502513349056,
,,,3.4375E-07,0.216080359648913,10.0502513349056,
,,,3.440625E-07,-0.155778863932937,10.0502513349056,
,,,3.44375E-07,-0.532663212157786,10.0502513349056,
,,,3.446875E-07,-0.914572685025632,10.0502513349056,
,,,3.45E-07,-1.29648215789348,10.0502513349056,
,,,3.453125E-07,-1.66834138147533,10.0502513349056,
,,,3.45625E-07,-2.04020060505718,10.0502513349056,
,,,3.459375E-07,-2.38693420542404,10.0502513349056,
,,,3.4625E-07,-2.70854218257591,10.0502513349056,
,,,3.465625E-07,-3.01507478579879,10.0502513349056,
,,,3.46875E-07,-3.27638126723468,10.0502513349056,
,,,3.471875E-07,-3.51758725009859,10.0502513349056,
,,,3.475E-07,-3.7286424851045,10.0502513349056,
,,,3.478125E-07,-3.90954697225243,10.0502513349056,
,,,3.48125E-07,-4.07537608547136,10.0502513349056,
,,,3.484375E-07,-4.19095395226032,10.0502513349056,
,,,3.4875E-07,-4.27638107119128,10.0502513349056,
,,,3.490625E-07,-4.32663231762126,10.0502513349056,
,,,3.49375E-07,-4.34673281619325,10.0502513349056,
,,,3.496875E-07,-4.35678306547925,10.0502513349056,
,,,3.5E-07,-4.35678306547925,10.0502513349056,
,,,3.503125E-07,-4.34673281619325,10.0502513349056,
,,,3.50625E-07,-4.33668256690726,10.0502513349056,
,,,3.509375E-07,-4.31658206833526,10.0502513349056,
,,,3.5125E-07,-4.29648156976327,10.0502513349056,
,,,3.515625E-07,-4.26130569726229,10.0502513349056,
,,,3.51875E-07,-4.2361800740473,10.0502513349056,
,,,3.521875E-07,-4.21105445083231,10.0502513349056,
,,,3.525E-07,-4.20100420154631,10.0502513349056,
,,,3.528125E-07,-4.20602932618931,10.0502513349056,
,,,3.53125E-07,-4.2211047001183,10.0502513349056,
,,,3.534375E-07,-4.2412051986903,10.0502513349056,
,,,3.5375E-07,-4.26130569726229,10.0502513349056,
,,,3.540625E-07,-4.27135594654828,10.0502513349056,
,,,3.54375E-07,-4.27135594654828,10.0502513349056,
,,,3.546875E-07,-4.27135594654828,10.0502513349056,
,,,3.55E-07,-4.27135594654828,10.0502513349056,
,,,3.553125E-07,-4.26633082190529,10.0502513349056,
,,,3.55625E-07,-4.26130569726229,10.0502513349056,
,,,3.559375E-07,-4.26130569726229,10.0502513349056,
,,,3.5625E-07,-4.26130569726229,10.0502513349056,
,,,3.565625E-07,-4.26130569726229,10.0502513349056,
,,,3.56875E-07,-4.26633082190529,10.0502513349056,
,,,3.571875E-07,-4.27135594654828,10.0502513349056,
,,,3.575E-07,-4.27135594654828,10.0502513349056,
,,,3.578125E-07,-4.27135594654828,10.0502513349056,
,,,3.58125E-07,-4.27135594654828,10.0502513349056,
,,,3.584375E-07,-4.26130569726229,10.0502513349056,
,,,3.5875E-07,-4.24623032333329,10.0502513349056,
,,,3.590625E-07,-4.2261298247613,10.0502513349056,
,,,3.59375E-07,-4.20602932618931,10.0502513349056,
,,,3.596875E-07,-4.19095395226032,10.0502513349056,
,,,3.6E-07,-4.18090370297432,10.0502513349056,
,,,3.603125E-07,-4.17587857833132,10.0502513349056,
,,,3.60625E-07,-4.18090370297432,10.0502513349056,
,,,3.609375E-07,-4.18090370297432,10.0502513349056,
,,,3.6125E-07,-4.18592882761732,10.0502513349056,
,,,3.615625E-07,-4.18592882761732,10.0502513349056,
,,,3.61875E-07,-4.18592882761732,10.0502513349056,
,,,3.621875E-07,-4.18592882761732,10.0502513349056,
,,,3.625E-07,-4.18592882761732,10.0502513349056,
,,,3.628125E-07,-4.18090370297432,10.0502513349056,
