"A,1 Log Mag"
"Frequency (Hz)","dB",
21800000000, -1.034456e+002,
21800125000, -1.024820e+002,
21800250000, -1.034070e+002,
21800375000, -1.030178e+002,
21800500000, -1.022033e+002,
21800625000, -1.025766e+002,
21800750000, -1.035469e+002,
21800875000, -1.036910e+002,
21801000000, -1.029833e+002,
21801125000, -1.032469e+002,
21801250000, -1.033986e+002,
21801375000, -1.043386e+002,
21801500000, -1.018510e+002,
21801625000, -1.019287e+002,
21801750000, -1.030368e+002,
21801875000, -1.025321e+002,
21802000000, -1.033877e+002,
21802125000, -1.044013e+002,
21802250000, -1.039188e+002,
21802375000, -1.024645e+002,
21802500000, -1.028940e+002,
21802625000, -1.015254e+002,
21802750000, -1.029145e+002,
21802875000, -1.031616e+002,
21803000000, -1.033255e+002,
21803125000, -1.040349e+002,
21803250000, -1.026545e+002,
21803375000, -1.022670e+002,
21803500000, -1.027653e+002,
21803625000, -1.024054e+002,
21803750000, -1.026244e+002,
21803875000, -1.038854e+002,
21804000000, -1.041190e+002,
21804125000, -1.029532e+002,
21804250000, -1.032914e+002,
21804375000, -1.027040e+002,
21804500000, -1.031964e+002,
21804625000, -1.029557e+002,
21804750000, -1.028951e+002,
21804875000, -1.022243e+002,
21805000000, -1.028786e+002,
21805125000, -1.026476e+002,
21805250000, -1.030222e+002,
21805375000, -1.031358e+002,
21805500000, -1.020722e+002,
21805625000, -1.037368e+002,
21805750000, -1.031017e+002,
21805875000, -1.045712e+002,
21806000000, -1.038920e+002,
21806125000, -1.026114e+002,
21806250000, -1.027480e+002,
21806375000, -1.038839e+002,
21806500000, -1.024213e+002,
21806625000, -1.042717e+002,
21806750000, -1.024418e+002,
21806875000, -1.027673e+002,
21807000000, -1.027641e+002,
21807125000, -1.035850e+002,
21807250000, -1.047550e+002,
21807375000, -1.025467e+002,
21807500000, -1.020177e+002,
21807625000, -1.029842e+002,
21807750000, -1.024587e+002,
21807875000, -1.027708e+002,
21808000000, -1.011984e+002,
21808125000, -1.027402e+002,
21808250000, -1.028877e+002,
21808375000, -1.010546e+002,
21808500000, -1.021392e+002,
21808625000, -1.043663e+002,
21808750000, -1.031512e+002,
21808875000, -1.031540e+002,
21809000000, -1.018286e+002,
21809125000, -1.032523e+002,
21809250000, -1.031008e+002,
21809375000, -1.042399e+002,
21809500000, -1.028831e+002,
21809625000, -1.037251e+002,
21809750000, -1.025350e+002,
21809875000, -1.018199e+002,
21810000000, -1.032399e+002,
21810125000, -1.036835e+002,
21810250000, -1.029907e+002,
21810375000, -1.022033e+002,
21810500000, -1.040907e+002,
21810625000, -1.028421e+002,
21810750000, -1.025474e+002,
21810875000, -1.030445e+002,
21811000000, -1.018536e+002,
21811125000, -1.042832e+002,
21811250000, -1.034081e+002,
21811375000, -1.029324e+002,
21811500000, -1.025226e+002,
21811625000, -1.024236e+002,
21811750000, -1.024600e+002,
21811875000, -1.025460e+002,
21812000000, -1.033278e+002,
21812125000, -1.039484e+002,
21812250000, -1.036584e+002,
21812375000, -1.028604e+002,
21812500000, -1.036254e+002,
21812625000, -1.038659e+002,
21812750000, -1.016932e+002,
21812875000, -1.018421e+002,
21813000000, -1.030797e+002,
21813125000, -1.036496e+002,
21813250000, -1.034796e+002,
21813375000, -1.021002e+002,
21813500000, -1.032260e+002,
21813625000, -1.031905e+002,
21813750000, -1.025407e+002,
21813875000, -1.030459e+002,
21814000000, -1.017679e+002,
21814125000, -1.037305e+002,
21814250000, -1.032701e+002,
21814375000, -1.042856e+002,
21814500000, -1.024699e+002,
21814625000, -1.021638e+002,
21814750000, -1.032632e+002,
21814875000, -1.025519e+002,
21815000000, -1.016417e+002,
21815125000, -1.043546e+002,
21815250000, -1.026722e+002,
21815375000, -1.032560e+002,
21815500000, -1.024694e+002,
21815625000, -1.021379e+002,
21815750000, -1.030530e+002,
21815875000, -1.024170e+002,
21816000000, -1.015519e+002,
21816125000, -1.024372e+002,
21816250000, -1.031331e+002,
21816375000, -1.028169e+002,
21816500000, -1.033703e+002,
21816625000, -1.022402e+002,
21816750000, -1.031109e+002,
21816875000, -1.031965e+002,
21817000000, -1.032469e+002,
21817125000, -1.027069e+002,
21817250000, -1.030901e+002,
21817375000, -1.027693e+002,
21817500000, -1.042607e+002,
21817625000, -1.031939e+002,
21817750000, -1.029740e+002,
21817875000, -1.030606e+002,
21818000000, -1.019450e+002,
21818125000, -1.040045e+002,
21818250000, -1.015031e+002,
21818375000, -1.026674e+002,
21818500000, -1.034323e+002,
21818625000, -1.023960e+002,
21818750000, -1.028605e+002,
21818875000, -1.022923e+002,
21819000000, -1.036937e+002,
21819125000, -1.040377e+002,
21819250000, -1.024873e+002,
21819375000, -1.027895e+002,
21819500000, -1.028334e+002,
21819625000, -1.033525e+002,
21819750000, -1.022541e+002,
21819875000, -1.026754e+002,
21820000000, -1.042858e+002,
21820125000, -1.041948e+002,
21820250000, -1.029940e+002,
21820375000, -1.031545e+002,
21820500000, -1.025270e+002,
21820625000, -1.028876e+002,
21820750000, -1.033335e+002,
21820875000, -1.029553e+002,
21821000000, -1.014332e+002,
21821125000, -1.024754e+002,
21821250000, -1.014636e+002,
21821375000, -1.017701e+002,
21821500000, -1.037033e+002,
21821625000, -1.021597e+002,
21821750000, -1.028156e+002,
21821875000, -1.018124e+002,
21822000000, -1.028470e+002,
21822125000, -1.023379e+002,
21822250000, -1.010256e+002,
21822375000, -1.025534e+002,
21822500000, -1.025906e+002,
21822625000, -1.055604e+002,
21822750000, -1.026994e+002,
21822875000, -1.025392e+002,
21823000000, -1.038148e+002,
21823125000, -1.039857e+002,
21823250000, -1.024484e+002,
21823375000, -1.040499e+002,
21823500000, -1.029652e+002,
21823625000, -1.024435e+002,
21823750000, -1.029193e+002,
21823875000, -1.027598e+002,
21824000000, -1.025812e+002,
21824125000, -1.027450e+002,
21824250000, -1.028024e+002,
21824375000, -1.028809e+002,
21824500000, -1.043970e+002,
